aM gaRAya,am+gaRAya
ajASca,ajAH+ca
ajAScArayituM,ajAH+carayituM
ajitAdyASca,ajitAdyAH+ca
ajIjanatsa,ajIjanat+saH
ajIrRe'gnyarkasantapte,ajIrRe+agnyarkasantapte
ajo'BaRat,ajaH+aBaRat
ajjukAM ca,ajjukAm+ca
ajYAtavAsaSca,ajYAtavAsaH+ca
ajYAtasyeti,ajYAtasya+iti
ajYAnakaraRajanyajYAnAnuvftto jYAnakaraRajanyavyAvfttO,ajYAnakaraRajanyajYAnAnuvfttaH+jYAnakaraRajanyavyAvfttO
ajYAnAttu,ajYAnAt+tu
ajYAnAdatikrAntavAn,ajYAnAt+atikrAntavAn
ajYAnAd yA,ajYAnAt+yA
ajYAnino vayaM,ajYAninaH+vayaM
ajYAneti,ajYAna+iti
ajYAyamAnatvaviSezaRAnna,ajYAyamAnatvaviSezaRAt+na
aYjayellakzmakft,aYjayet+lakzmakft
aYjalibadDo BUtvA,aYjalibadDaH+BUtvA
awavImullaNGya,awavIm+ullaNGya
awavyAmawataH,awavyAm+awataH
awwAlaka eva,awwAlake+eva
awwAlikAto'vatIrya,awwAlikAtaH+avatIrya
aRimAdimavApnoti,aRimAdim+avApnoti
aRqAd na,aRqAt+na
aRqAnyeva,aRqAni+eva
ata AkfteH,ataH+AkfteH
ata ityAdinA,ataH+ityAdinA
ata evakAraH,ataH+evakAraH
ata tEH,ataH+tEH
ata DAtvAdanupayogitvAt,ataH+DAtvAdanupayogitvAt
ata ye,ataH+ye
ata rAjAdeSaM,ataH+rAjAdeSaM
ata sapakzapadasya,ataH+sapakzapadasya
ataTABUtajYAnavizayasyEva,ataTABUtajYAnavizayasya+eva
ataTeti,ataTA+iti
atarkitameva,atarkitam+eva
ataScakzuHSrotrayoH,ataH+cakzuHSrotrayoH
ataScalatu,ataH+calatu
atastadanvaye,ataH+tadanvaye
atastadarTaM,ataH+tadarTaM
atastadBAvABAvAnuviDAyinaH,ataH+tadBAvABAvAnuviDAyinaH
atastadvizayatvApratyakzaM,ataH+tadvizayatvApratyakzaM
atastadvizayasya,ataH+tadvizayasya
atastannivAraRArTaM,ataH+tannivAraRArTaM
atastayoH,ataH+tayoH
atastava,ataH+tava
atastasya,ataH+tasya
atastAdfSaboDasya,ataH+tAdfSaboDasya
atastAsu,ataH+tAsu
atastftIyajYAnasya,ataH+tftIyajYAnasya
atastEH,ataH+tEH
atastrEviDyakaTanaM,ataH+trEviDyakaTanaM
atastvarAvahe,ataH+tvarAvahe
atastadEva,ataH+tadEva
atastasya,ataH+tasya
atastAdfSam,ataH+tAdfSam
atastuByam,ataH+tuByam
atAqayadeva,atAqayat+eva
atAdfSatvAditi,atAdfSatvAt+iti
atAdfSasya,ataH+tAdfSasya
atAdfSasyeti,atAdfSasya+iti
atikazwamanuBUya,atikazwam+anuBUya
atikuSalA Asan,atikuSalAH+Asan
aticapalA'sO,aticapalA+asO
atijawilaYca,atijawilam+ca
atijIrRAM parityajet,atijIrRAm+parityajet
atitapatyAdityaH,atitapati+AdityaH
atitarAM viprakfzwe,atitarAm+viprakfzwe
atitarAM suKI,atitarAm+suKI
atiTayaSca,atiTayaH+ca
atiTigfhe'vasTAnaM,atiTigfhe+avasTAnaM
atiTidevo Bava,atiTidevaH+Bava
atiTimiva,atiTim+iva
atiTimupaninye,atiTim+upaninye
atiTirUpeRAtra,atiTirUpeRa+atra
atiTivaryastu,atiTivaryaH+tu
atidfQa aBavat,atidfQaH+aBavat
atidfQABittirapi,atidfQABittiH+api
atiDIro yodDA,atiDIraH+yodDA
atinipuRaSca,atinipuRaH+ca
atipavitramasti,atipavitram+asti
atiprasaMgavAraRA'saMBavAditi,atiprasaMgavAraRA'saMBavAt+iti
atiprasaMgavirahAditi,atiprasaMgavirahAt+iti
atiprasaMgasyeti,atiprasaMgasya+iti
atiprasaMgAditi,atiprasaMgAt+iti
atiprasaMgAvirahAditi,atiprasaMgAvirahAt+iti
atiprasaktatvAditi,atiprasaktatvAt+iti
atiprasaktatvAdeva,atiprasaktatvAt+eva
atiprasaktirdurvArEveti,atiprasaktirdurvAra+eveti
atiprasakteruBayAtraviSezAt,atiprasakteH+uBayAtraviSezAt
atiprasaYjakamiti,atiprasaYjakam+iti
atiprasannaSca,atiprasannaH+ca
atiprasannA aBUvan,atiprasannAH+aBUvan
atiprAcInakAlAdeva,atiprAcInakAlAt+eva
atiprAcInamAdikAvyaM,atiprAcInam+AdikAvyaM
atiyogo'tisaMsargaH,atiyogaH+atisaMsargaH
atirAkzasaM Kalu,atirAkzasam+Kalu
atirAtraYca,atirAtram+ca
atirAtrAptoryAmaSca,atirAtrAptoryAmaH+ca
atiriktaM taladvaye,atiriktam+taladvaye
atiriktaDarmakalpanAmapekzya,atiriktaDarmakalpanAm+apekzya
atiriktAyAstasyAH,atiriktAyAH+tasyAH
atirUpavAnAsIt,atirUpavAn+AsIt
ativicitramidam,ativicitram+idam
ativinItaSca,ativinItaH+ca
ativirahAditi,ativirahAt+iti
ativiSAladeho'si,ativiSAladehaH+asi
ativyAptimudBAvayate,ativyAptim+udBAvayate
ativyAptivArakatvAcca,ativyAptivArakatvAt+ca
ativyApteranudBAvane,ativyApteH+anudBAvane
ativyApteriti,ativyApteH+iti
ativyAptyasaMBavayoraBAve,ativyAptyasaMBavayoH+aBAve
atiSayitamiti,atiSayitam+iti
atiSete'sO,atiSete+asO
atizWAmeti,atizWAm+eti
atisaMkziptamuttaram,atisaMkziptam+uttaram
atisadfSa iti,atisadfSaH+iti
atisTOlyA'pacImehajvarodaraBagandarAn,atisTOlyA+apacImehajvarodaraBagandarAn
atisvAdizWA ete,atisvAdizWAH+ete
atIcArAdyupaplavakarARi,atIcArAdi+upaplavakarARi
atItaM vyasfjat,atItam+vyasfjat
atItatvavartamAnatvAvikalpAnupapatterityarTe,atItatvavartamAnatvAvikalpAnupapatteH+ityarTe
atItaprAgaBAvatvavadityarTaH,atItaprAgaBAvatvavat+ityarTaH
atItAnAgatakulasamudDAraM dadAmi,atItAnAgatakulasamudDAram+dadAmi
atIndriyapadenEva,atIndriyapadena+eva
atIvanipuRo nawaH,atIvanipuRaH+nawaH
atIvahfzwo baBUva,atIvahfzwaH+baBUva
atIvAsUyAM baBAra,atIvAsUyAm+baBAra
atIvotpAtI,atIva+utpAtI
ato gacCAmi,ataH+gacCAmi
ato GawakarmatvAdirUpaKaMqa,ataH+GawakarmatvAdirUpaKaMqa
ato GawAdipadAt,ataH+GawAdipadAt
ato jagadISapurasya,ataH+jagadISapurasya
ato daSEva,ataH+daSEva
ato dillISvarasya,ataH+dillISvarasya
ato devatApUjanArTaM,ataH+devatApUjanArTaM
ato dravyatvaDarmitAvacCedakABeda,ataH+dravyatvaDarmitAvacCedakABeda
ato dvitIyArTa,ataH+dvitIyArTa
ato dvitvAdinizWA,ataH+dvitvAdinizWA
ato DarmamArgeRa,ataH+DarmamArgeRa
ato nAmnA,ataH+nAmnA
ato nimittABAve,ataH+nimittABAve
ato nyUnAtinyUnaM,ataH+nyUnAtinyUnaM
ato bahiH,ataH+bahiH
ato boDaBedena,ataH+boDaBedena
ato BavadAjYA,ataH+BavadAjYA
ato BojanAya,ataH+BojanAya
ato manmftyonantaram,ataH+manmftyonantaram
ato mahArAjasya,ataH+mahArAjasya
ato muKyakAraRatvApratibanDakaSaktyoH,ataH+muKyakAraRatvApratibanDakaSaktyoH
ato rAjapadasya,ataH+rAjapadasya
ato varRAnAM,ataH+varRAnAM
ato vAstavavat,ataH+vAstavavat
ato vinamraM,ataH+vinamraM
ato vipakzavftteH,ataH+vipakzavftteH
ato viBaktyarTasya,ataH+viBaktyarTasya
ato viSezaRatAvacCedakIBUtanIlatva,ataH+viSezaRatAvacCedakIBUtanIlatva
ato viSezaDarmaM,ataH+viSezaDarmam
ato vEdahiMsAyAM,ataH+vEdahiMsAyAM
ato vyAptyA,ataH+vyAptyA
ato vrIhAveva,ataH+vrIhAveva
ato horAcatuzwayam,ataH+horAcatuzwayam
ato'ntimAya,ataH+antimAya
ato'BinIyasya,ataH+aBinIyasya
ato'BimAnipuruze,ataH+aBimAnipuruze
ato'valambakaH,ataH+avalambakaH
atyadButamasti,atyadButam+asti
atyantaprAyEkadeSasADarmyAdupamAnAsidDiHgOsU,atyantaprAyEkadeSasADarmyAt+upamAnAsidDiHgOsU
atyantAsatyapi,atyantAsati+api
atyarTaduzwAstu,atyarTaduzwAH+tu
atyarTasaYcitAsto hi,atyarTasaYcitAstaH+hi
atyalpenApi,atyalpena+api
atyaSrupAtena,ati+aSrupAtena
atyAcAraGawanAmimAm,atyAcAraGawanAm+imAm
atyAcAraparo vA,atyAcAraparaH+vA
atyAcAravivarDite'Ta,atyAcAravivarDite+aTa
atyADunike'pi,atyADunike+api
atyASito'DftiH,atyASitaH+aDftiH
atyudDUto vAyuH,atyudDUtaH+vAyuH
atraGawostItyasya,atratAt+avasTyItyasya
atratyajanastu,atratyajanaH+tu
atraBavanta eva,atraBavantaH+eva
atraBedasyA'vyApya,atraBedasya+avyApya
atraye'Ta,atraye+aTa
atrAkASapadADInaSAbdaboDasya,atra+AkASapadADInaSAbdaboDasya
atrAkASO,atra+AkASO
atrAgataH,atra+AgataH
atrAgatA,atra+AgatA
atrAgatya,atra+Agatya
atrAgamanAt,atra+AgamanAt
atrAdyAH,atra+AdyAH
atrAnupapattivirahAdityeva,atra+anupapattivirahAdityeva
atrAnurUpaM,atra+anurUpaM
atrAnEkAntikasAmAnyalakzaRAyogaH,atra+anEkAntikasAmAnyalakzaRAyogaH
atrAntarikaSAntistu,atrAntarikaSAntiH+tu
atrABAvapadenA''hAryatvABAva,atra+aBAvapadenA''hAryatvABAva
atrAyaM saMSayaH,atrAyam+saMSayaH
atrAyaM,atra+ayaM
atrArTAnuyogikapadapratiyogikapadAnuyogikArTapratiyogikayoH,atra+arTAnuyogikapadapratiyogikapadAnuyogikArTapratiyogikayoH
atrAvatIrya,atra+avatIrya
atrAviSvAsasya,atra+aviSvAsasya
atrAsADAraRakAraRaBUtAnAM,atra+asADAraRakAraRaBUtAnAM
atrAsADAraRasya,atra+asADAraRasya
atrAsmin,atra+asmin
atrAhuH,atra+AhuH
atrAhuriti,atrAhuH+iti
atrA'ntare'prabudDane,atrAntare+aprabudDane
atrA'BedasaMsargaka,atra+aBedasaMsargaka
atrA'vasare,atra+avasare
atrA''pAdyaH,atra+ApAdyaH
atretiga,atra+itiga
atredaMboDyam,atredam+boDyam
atrEkavAkyatvABAve,atra+ekavAkyatvABAve
atrocyata,atra+ucyata
atrocyate,atra+ucyate
atrocyateiti,atra+ucyateiti
atrodyAne,atra+udyAne
atyantameva,atyantam+eva
aTavArkacaturviMSazawtriMSanmAlikA,aTavA+arkacaturviMSazawtriMSanmAlikA
aTavASvasamArUQaH,aTavA+aSvasamArUQaH
aTavASvasTitaH,aTavA+aSvasTitaH
aTaSabdasyAnantare,aTaSabdasya+anantare
aTAjYAyamAnakartfkatvaM,aTa+ajYAyamAnakartfkatvaM
aTAtaH,aTaH+ataH
aTAto brahmajijYAsA,aTAtaH+brahmajijYAsA
aTAtyantagAQapraSAntatA,aTa+atyantagAQapraSAntatA
aTADeyatAsaMsargAvacCinna,aTa+ADeyatAsaMsargAvacCinna
aTAnayA,aTa+anayA
aTAnavasTABayAd,aTa+anavasTABayAd
aTAnunmIlayane,aTa+anunmIlayane
aTAnumitilOkika,aTa+anumitilOkika
aTAntaraNgapurezvavalokyamAnezu,aTAntaraNgapurezu+avalokyamAnezu
aTABizekaM,aTa+aBizekaM
aTArTAntaram,aTa+arTAntaram
aTAvAhya,aTa+AvAhya
aTAsmayA,aTa+asmayA
aTA'gfhItaSaNketAM,aTa+agfhItaSaNketAM
aTA'gfhItasaNgete,aTa+agfhItasaNgete
aTA'gfhItasaNketA,aTa+agfhItasaNketA
aTA'gfhItasaNketAM,aTa+agfhItasaNketAM
aTA'gfhItasaNkete,aTa+agfhItasaNkete
aTA'nekezu,aTa+anekezu
aTA'pratyAKyAniketi,aTa+apratyAKyAniketi
aTA'vicCinnaprayAREH,aTa+avicCinnaprayAREH
aTA''cAryeRa,aTa+AcAryeRa
aTA''dinA,aTa+AdinA
aTetarA,aTa+itarA
aTeSvarakAraRatve,aTa+ISvarakAraRatve
aTeslAmabAdanAmno,aTa+islAmabAdanAmna
aTEkaScandananAmA,aTa+ekaScandananAmA
aTEkasmin,aTa+ekasmin
aTEkAkinI,aTa+ekAkinI
aTEtat,aTa+etat
aTEtadavasare,aTa+etadavasare
aTEtadAkarRya,aTa+etadAkarRya
aTEtaddozaparijihIrzayA,aTa+etaddozaparijihIrzayA
aTEtanmata,aTa+etanmata
aTEnaM,aTa+enaM
aTEvaMviDaM,aTa+evaMviDaM
aTEvamapi,aTEvam+api
aTopavizwe,aTa+upavizwe
aToBayasEnyayoH,aTa+uBayasEnyayoH
aToBayoH,aTa+uBayoH
adakziRaM Kalu,adakziRam+Kalu
adfQasnehakozWastu,adfQasnehakozWaH+tu
adfSyasyApi,adfSyasya+api
adfSyo Bavati,adfSyaH+Bavati
adfzwajanakatvopAdAnaM datte,adfzwajanakatvopAdAnam+datte
adfzwajanaketi,adfzwajanaka+iti
adfzwadvArAraRamitiga,adfzwadvArAraRam+itiga
adfzwaprAgaBAveti,adfzwaprAgaBAva+iti
adfzwavadAtmasaMyogamAdAya,adfzwavadAtmasaMyogam+AdAya
adfzwasyeti,adfzwasya+iti
adfzwAdvArakaM ca,adfzwAdvArakam+ca
adfzwAdvArakatvenoktadozABAvAt,adfzwAdvArakatvena+uktadozABAvAt
adfzwAdvArakARAmiti,adfzwAdvArakARAm+iti
adfzwAdvArakopAdAnagocarakftitvAvacCinnajanakatApratiyogiBinnatvaM vivakzitam,adfzwAdvArakopAdAnagocarakftitvAvacCinnajanakatApratiyogiBinnatvam+vivakzitam
adfzwArTakatvakalpanAyAM ca,adfzwArTakatvakalpanAyAm+ca
adfzwArTastu,adfzwArTaH+tu
adfzweti,adfzwa+iti
adfzwe'rke,adfzwe+arke
adfzwo,adfzwaH+
adButamidam,adButam+idam
adyaeva,adya+eva
adyaparyantamIdfSaH,adyaparyantam+IdfSaH
adyapraBftyasmAkaM,adyapraBfti+asmAkaM
adyayAvatsaH,adyayAvat+saH
adyAgate,adya+Agate
adyAddravyaM,adyAt+dravyaM
adyAraBya,adya+AraBya
adyAvakASo'sti,adyAvakASaH+asti
adyAsmatgfhe,adya+asmatgfhe
adyA'pyutkampaM,adyA'pi+utkampaM
adyA''leKasya,adya+AleKasya
advizWapadasyAvyAsajyavfttyarTakatvAt,advizWapadasya+avyAsajyavfttyarTakatvAt
aDamastrIyaM,aDamastrI+iyaM
aDarmarucayastaTA,aDarmarucayaH+taTA
aDarmaSca,aDarmaH+ca
aDarmAdyASca,aDarmAdyAH+ca
aDastanaSAyikayorupaviSya,aDastanaSAyikayoH+upaviSya
aDikaM SaktiSAlinam,aDikam+SaktiSAlinam
aDikadUrameva,aDikadUram+eva
aDikabalenApi,aDikabalena+api
aDikabalopasTitiSca,aDikabalopasTitiH+ca
aDikamapekzyate,aDikam+apekzyate
aDikaraRagrahaRopakzIRatvAdindriyavyApArasya,aDikaraRagrahaRopakzIRatvAt+indriyavyApArasya
aDikaraRaparatvagrahepItyarTaH,aDikaraRaparatvagrahepi+ityarTaH
aDikaraRaBede'pi,aDikaraRaBede+api
aDikaraRAdvayasyeti,aDikaraRAdvayasya+iti
aDikaraRAnavacCinnatvamiti,aDikaraRAnavacCinnatvam+iti
aDikaraRAnavacCinnavizayatASAlItyarTaH,aDikaraRAnavacCinnavizayatASAli+ityarTaH
aDikaraRAparatvepIti,aDikaraRAparatvepi+iti
aDikaraRABAvayorapi,aDikaraRABAvayoH+api
aDikADikamIhate,aDikADikam+Ihate
aDikArAvasAnaM vA,aDikArAvasAnam+vA
aDikAriRaSca,aDikAriRaH+ca
aDikAriRaSca,aDikAriRaH+ca
aDikArivargajanitErantarAyEH,aDikArivargajanitEH+antarAyEH
aDikAvagAhiSAbdaboDasvIkartuBirnavInEraDikAMSavizayatAniyAmikA,aDikAvagAhiSAbdaboDasvIkartuBiHnavInEH+aDikAMSavizayatAniyAmikA
aDiketi,aDika+iti
aDikEva,aDikA+eva
aDiko DanavyayaH,aDikaH+DanavyayaH
aDigataSuktiSakalameva,aDigataSuktiSakalam+eva
aDiBUtADidevEstu,aDiBUtADidevEH+tu
aDimaYcaM yat,aDimaYcam+yat
aDivaktuScaRqakasya,aDivaktuH+caRqakasya
aDivAsanaviDirnAma,aDivAsanaviDiH+nAma
aDivAsayecca,aDivAsayet+ca
aDivAsayedazwakumBAn,aDivAsayet+azwakumBAn
aDItasakalavedo'smi,aDItasakalavedaH+asmi
aDunEte,aDunA+ete
aDfzyaM vidurArccitaH,aDfzyam+vidurArccitaH
aDo vilokya,aDaH+vilokya
aDodiSaM rakza,aDodiSam+rakza
aDoBAgaM triDA,aDoBAgam+triDA
aDordDvatiryaggABistu,aDordDvatiryaggABiH+tu
aDo'valokya,aDaH+avalokya
aDyayanaSIlaSca,aDyayanaSIlaH+ca
aDyayanasamaye'pi,aDyayanasamaye+api
aDyayanAd viratasya,aDyayanAt+viratasya
aDyayanAnantaramapi,aDyayanAnantaram+api
aDyayane'pi,aDyayane+api
aDyApakASca,aDyApakAH+ca
aDyApanaYca,aDyApanam+ca
aDyAhArAtmakArTopasTiterityarTaH,aDyAhArAtmakArTopasTiteH+ityarTaH
aDyAhftakriyAkArakapadArTopisaH,aDyAhftakriyAkArakapadArTaH+apisaH
aDvagavezo BUpaH,aDvagavezaH+BUpaH
aDyayanamapi,aDyayanam+api
aDyayanasamakAlameva,aDyayanasamakAlam+eva
aDyayanasyADyApanasya,aDyayanasya+aDyApanasya
aDyApakASCAtrA,aDyApakAH+CAtrA
aDyApakenottaram,aDyApakena+uttaram
aDyApako'BUt,aDyApakaH+aBUt
aDyApikASca,aDyApikAH+ca
anagnAviva,anagnO+iva
anatiprasaktatvAditi,anatiprasaktatvAt+iti
anatiprasaktatvAniyatattvAditi,anatiprasaktatvAniyatattvAt+iti
anatiprasaktatvAniyatatvAditi,anatiprasaktatvAniyatatvAt+iti
anaDigatArTagantfpramARamiti,anaDigatArTagantfpramARam+iti
anaDyavasAyo hi,anaDyavasAyaH+hi
anaDyavasitaBedAstu,anaDyavasitaBedAH+tu
ananugatenEva,ananugatena+eva
ananumitapUrvamAkUtam,ananumitapUrvam+AkUtam
anantakAraRatAkalpanamapekzyeti,anantakAraRatAkalpanam+apekzyeti
anantatvAnna,anantatvAt+na
anantaDAtUnAM tattatPalAvacCinnavyApAre,anantaDAtUnAm+tattatPalAvacCinnavyApAre
anantaprakftInAM lakzaRApekzayA,anantaprakftInAm+lakzaRApekzayA
anantapratibaMDakatvakalpanApekzayA,anantapratibaMDakatvakalpana+ApekzayA
anantaramanEkAntikatAM,anantaram+anEkAntikatAM
anantaramanyAni,anantaram+anyAni
anantaramavaSizwAyAH,anantaram+avaSizwAyAH
anantaSaktirBava,anantaSaktiH+Bava
anantAgacCa,ananta+AgacCa
anantAnubanDIti,anantAnubanDI+iti
ananyagatyeti,ananyagatyA+iti
ananyatve'pi,ananyatve+api
ananyaTAsidDeti,ananyaTAsidDa+iti
ananyaprezyamiti,ananyaprezyam+iti
ananyalaByo hi,ananyalaByaH+hi
ananyalaByohi,ananyalaByaH+hi
ananyalaByohiSabdArTa,ananyalaByaH+hiSabdArTa
anantaraM ca,anantaram+ca
anantaramasO,anantaram+asO
anaparAdDo BavAn,anaparAdDaH+BavAn
anapekzaRAditi,anapekzaRAt+iti
anapekzitAmamanyatAsO,anapekzitAm+amanyatAsO
anaBijYamapi,anaBijYam+api
anaBijYeva,anaBijYA+eva
anaBihitamiti,anaBihitam+iti
anaBIzwe'pi,anaBIzwe+api
anaByupagantavyatvAditi,anaByupagantavyatvAt+iti
anaByupagamAcca,anaByupagamAt+ca
anaByupagamAditi,anaByupagamAt+iti
anayEva,anayA+eva
anayoruttaram,anayoH+uttaram
anayorOdDatyapUrRam,anayoH+OdDatyapUrRam
anayorvArtAlApam,anayoH+vArtAlApam
anayorvArtAlApo,anayoH+vArtAlApaH
anayorviSezato,anayoH+viSezato
anargalasyApi,anargalasya+api
anarTamimam,anarTam+imam
anarho Bavati,anarhaH+Bavati
anarho'sti,anarhaH+asti
analasaSca,analasaH+ca
analAdAtmAnaM,analAt+AtmAnaM
anavagAhinIti,anavagAhinI+iti
anavabudDA'nupajASaNkA,anavabudDA+anupajASaNkA
anaSanaparitaptaM pARqu,anaSanaparitaptam+pARqu
anasUyAYca,anasUyAm+ca
anasUyApriyaMvadayorBUmike,anasUyApriyaMvadayoH+BUmike
anAkarRitAtideSavAkyasyApi,anAkarRitAtideSavAkyasya+api
anAkarRyeva,anAkarRya+eva
anAkANkziteti,anAkANkzitA+iti
