yasmAjjAyate,yasmAt+jAyate
tizWed DanaM,tizWet+DanaM
yad rocate,yat+rocate
kAmakroDAdayo yasya,kAmakroDAdayaH+yasya
mftA banDujanAH,mftAH+banDujanAH
sa tataH,saH+tataH
praSAnto modate,praSAntaH+modate
bahirnirgamayat,bahiH+nirgamayat
janaScOrye,janaH+cOrye
vfttilABaScOryakarmanivArakaH,vfttilABaH+cOryakarmanivArakaH
mfto'pi,mftaH+api
suKamApnoti,suKam+Apnoti
sa mAnavaH,saH+mAnavaH
yato hi,yataH+hi
kasyacid vastu,kasyacit+vastu
Bavatyeva,Bavati+eva
sa cOryakAraRAt,saH+cOryakAraRAt
bahirgataH,bahiH+gataH
tasmAd vfkzAt,tasmAt+vfkzAt
mahad AScaryaM,mahat+AScaryaM
sAmAnyasyApi,sAmAnyasya+api
nAsmAt,na+asmAt
BaNgo'stu,BaNgaH+astu
mA'DunA,mA+aDunA
tad aham,tat+aham
ko'sti,kaH+asti
tatastarhi,tataH+tarhi
kfpaRo mriyatAM,kfpaRaH+mriyatAM
sarveSvaro'pi,sarveSvaraH+api
tasyAgre,tasya+agre
bahirAgataH,bahiH+AgataH
sa tu,saH+tu
pArvatISaNkarAviva,pArvatISaNkarO+iva
jAto hi,jAtaH+hi
gfhAd bahiH,gfhAt+bahiH
amitro jAyate,amitraH+jAyate
kAsti,kA+asti
etad api,etat+api
punarahaM,punaH+ahaM
BagavadguRAn,Bagavat+guRAn
hAniH,hAniH+
pUrtirna,pUrtiH+na
bahirAgatAH,bahiH+AgatAH
etad,etat+
sa udatarat,saH+udatarat
tad idAniM,tat+idAniM
yudapad eva,yudapat+eva
nocitA,na+ucitA
nocitA,na+ucitA
subudDimantastAM,subudDimantaH+tAM
svayameva,svayam+eva
ISvaro'pi,ISvaraH+api
tatastuzwaH,tataH+tuzwaH
tadicCApUrako Bavet,tadicCApUrakaH+Bavet
etad dfzwvA,etat+dfzwvA
punarapi,punaH+api
yanniyataM,yat+niyataM
sa eva,saH+eva
etad AkarRya,etat+AkarRya
prakftiravatizWate,prakftiH+avatizWate
bahir nirasArayat,bahir+nirasArayat
yattu,yat+tu
tad acCam,tat+acCam
yad uktavAn,yat+uktavAn
tad aham,tat+aham
yad AdiSat,yat+AdiSat
tad api,tat+api
yato hi,yataH+hi
kintvanyo,kintu+anyaH
sa mahAvyADinA,saH+mahAvyADinA
Sramo'vaSyaM,SramaH+avaSyaM
syAcca,syAt+ca
sAMsArikapadArTA hi,sAMsArikapadArTAH+hi
tadAsaktO,tadA+AsaktO
copahasyate,ca+upahasyate
durDiyo janAH,durDiyaH+janAH
parasyAsmin,parasya+asmin
jano jAtu,janaH+jAtu
sADusanto mahAtmAnaH,sADusantaH+mahAtmAnaH
kAmAtmAno Bavanti,kAmAtmAnaH+Bavanti
pravartyAnyAn,pravartya+anyAn
rucimanyasya,rucim+anyasya
svArTAd vijYApyate,svArTAt+vijYApyate
tannUnaM,tat+nUnaM
nAtra,na+atra
svasyEva,svasya+eva
etad vatsa,etat+vatsa
nAnAkAryasamudvigno,nAnAkAryasamudvignaH+
yato janaH,yataH+janaH
ugratAyAmapi,ugratAyAm+api
svIyo,svIyaH+
tyAjyo hi,tyAjyaH+hi
cApi,ca+api
sEnikA yudDe,sEnikAH+yudDe
SAsakAstataH,SAsakAH+tataH
mftA divaM,mftAH+divaM
jIvitA iha,jIvitAH+iha
SvaSrUrBUtvA,SvaSrUH+BUtvA
santApayenna,santApayet+na
vaDUstarhi,vaDUH+tarhi
vidyAnna,vidyAt+na
vyaktiH,vyaktiH+
tadguRAkfzwahfdayA,tat+guRAkfzwahfdayA
Atmavad eva,Atmavat+eva
so'sti,saH+asti
yo hi,yaH+hi
pakzavipakzato'nantAn,pakzavipakzataH+anantAn
sa vindati,saH+vindati
nidrito'pi,nidritaH+api
yo japet,yaH+japet
Baktottamo nAsti,BaktottamaH+nAsti
svIya eva,svIyaH+eva
Sakto na,SaktaH+na
santastu,santaH+tu
santo hi,santaH+hi
sadyastat,sadyaH+tat
santo,santaH+
yadicCanti,yat+icCanti
tato janAH,tataH+janAH
vayo liNgaM,vayaH+liNgaM
sa,saH+
sarvasyApi,sarvasya+api
priyo Bavet,priyaH+Bavet
yadgfhe,yat+gfhe
sa kiM,saH+kiM
sa sanAtanaDarmasaBAyAH,saH+sanAtanaDarmasaBAyAH
yadgfhe,yat+gfhe
kAlo vArtAsu,kAlaH+vArtAsu
pratyutpannamateruktiH,pratyutpannamateH+uktiH
jYeyo,jYeyaH+
yo'nayA,yaH+anayA
vAkCalato'vaSyaM,vAkCalataH+avaSyaM
dUre'vatizWeta,dUre+avatizWeta
sumatimAYjanaH,sumatimAn+janaH
vyaktirupaBuNkte,vyaktiH+upaBuNkte
mano vARI,manaH+vARI
tad malinaM,tat+malinaM
bahirniHsftam,bahiH+niHsftam
sahanIyo na,sahanIyaH+na
yo'nyAyaM,yaH+anyAyaM
so'sti,saH+asti
avasaropayukto yaH,avasaropayuktaH+yaH
sa kiM,saH+kiM
nAnizwaM,na+anizwaM
kasyaciccintyaM,kasyacit+cintyaM
nApi,na+api
haritAnyapi,haritAni+api
sa eva,saH+eva
Sramiko DImAn,SramikaH+DImAn
Bavitumarhati,Bavitum+arhati
aByAso'tra,aByAsaH+atra
pravIRo'ti,pravIRaH+ati
santyeva,santi+eva
yatrA''yAnti,yAtrA+AyAnti
tato yAnti,tataH+yAnti
tad ahaM,tat+ahaM
tad Bavati,tat+Bavati
pArSve'sti,pArSve+asti
kadApi,kadA+api
naSyenna,naSyet+na
budDistadA,budDiH+tadA
kiYcitsamayAnantaram,kiYcit+samayAnantaram
tadDanaM,tat+DanaM
milatyacCam,milati+acCam
tad asmin,tat+asmin
tad gfhaM,tat+gfhaM
ta eva,te+eva
lABo gAlidAnena,lABaH+gAlidAnena
tudatyalam,tudati+alam
kasyacid brAhmaRasya,kasyacit+brAhmaRasya
kfto'tIva,kftaH+atIva
yAtrAyAmaparigrahaH,yAtrAyAm+aparigrahaH
punaSca,punaH+ca
yo'nyasmE,yaH+anyasmE
miTo'nizwaM,miTaH+anizwaM
padayAtrayA tayoH,padayAtrAyAH+tayoH
suhfd pUrvam,suhft+pUrvam
suhfd api,suhft+api
santAno'nukurvIta,santAnaH+anukurvIta
vAnarasvaBAvA na,vAnarasvaBAvAH+na
grAmAd bahiH,grAmAt+bahiH
BakzakA yatra,BakzakAH+yatra
kevalamISvaraH,kevalam+ISvaraH
svamISvaraM,svam+ISvaraM
ISvarastena,ISvaraH+tena
guRayuktaScet,guRayuktaH+cet
sarvo Bavati,sarvaH+Bavati
kvacid vyarTaM,kvacit+vyarTaM
sAhAyyamAcaret,sAhAyyam+Acaret
sa deyaH,saH+deyaH
svezwAni,sva+izwAni
matyEva,matyA+eva
tannEva,tat+nEva
kzatirBavet,kzatiH+Bavet
asmadASritAH,asmat+ASritAH
leKakasyAtra,leKakasya+atra
ko dozo,kaH+dozaH
pradatteyaM,pradattA+iyaM
paranindAvacoBirna,paranindAvacoBiH+na
kzIRaSaktirviDIyatAm,kzIRaSaktiH+viDIyatAm
yo vijAnAti,yaH+vijAnAti
sa hi,saH+hi
yo na,yaH+na
sa kaTaM,saH+kaTaM
satsaNgo na,satsaNgaH+na
kartavyo'sO,kartavyaH+asO
tato Bavati,tataH+Bavati
bahirviSrAmaM,bahiH+viSrAmaM
svAcaraRe,sva+AcaraRe
niHspfhAstataH,niHspfhAH+tataH
svalpo'pi,svalpaH+api
Baved BUri,Bavet+BUri
tad nEva,tat+nEva
dozo na,dozaH+na
tad ahaM,tat+ahaM
yad Bavet,yat+Bavet
santyAjyameva,santyAjyam+eva
tad AcaraRaM,tat+AcaraRaM
lokApavAdato BItaH,lokApavAdataH+BItaH
kfpaRo jAyate,kfpaRaH+jAyate
kazwamAvindan,kazwam+Avindan
tad dalaM,tat+dalaM
tad dalaM,tat+dalaM
vEzRavasanto hi,vEzRavasantaH+hi
jano vetti,janaH+vetti
sa vikaroti,saH+vikaroti
yad icCasi,yat+icCasi
nedfk,na+Idfk
Palennahi,Palet+nahi
janatecCati,janatA+icCati
secCati,sa+icCati
SAsakAstasyAH,SAsakAH+tasyAH
tadviSvAso na,tadviSvAsaH+na
yo,yaH+
so'DigacCati,saH+aDigacCati
jIvadByo'pi,jIvadByaH+api
sa,saH+
yo,yaH+
nirmame'Dvani,nirmame+aDvani
vilambo nEva,vilambaH+nEva
sadyo viDIyatAm,sadyaH+viDIyatAm
vilambAjjAyate,vilambAt+jAyate
hAnistasyAH,hAniH+tasyAH
pUrtirasamBavA,pUrtiH+asamBavA
tad AnIyatAM,tat+AnIyatAM
budDimanto mahAjanAH,budDimantaH+mahAjanAH
dfzwvA'nyezAM,dfzwvA+anyezAM
sa,saH+
samprArTayata ISvaram,samprArTayate+ISvaram
mahAkAlo na,mahAkAlaH+na
heturhi,hetuH+hi
etad AkarRya,etat+AkarRya
vilambo na,vilambaH+na
nApamAnayet,na+ApamAnayet
nIrasameva,nIrasam+eva
cOro na,cOraH+na
sarvakArAcca,sarvakArAt+ca
sa kim,saH+kim
bahir AgacCan,bahiH+AgacCan
jaganmAteva,jaganmAtA+iva
pravizwA asti,pravizwA+asti
samupAsyEva,samupAsya+eva
vimAtApi,vimAtA+api
nEvABivarzati,nEva+aBivarzati
tasyAntikam,tasya+antikam
ko'pi,kaH+api
sa paritrAtuM,saH+paritrAtuM
prARAhutipradAne'pi,prARAhutipradAne+api
SatruRA'pi,SatruRA+api
tamavaSyaM,tam+avaSyaM
durAcAro,durAcAraH+
kiyaddUre,kiyat+dUre
sa vEPalyaM,saH+vEPalyaM
nEvApnoti,nEva+Apnoti
kiYcid dUraM,kiYcit+dUraM
bfhadrASiM,bfhat+rASiM
vihAyAnyat,vihAya+anyat
jalenEva,jalena+eva
sa SAmyati,saH+SAmyati
keByaScid dineByaH,keByaScit+dineByaH
yad ekena,yat+ekena
yuktyEva,yuktyA+eva
yuktyEva,yuktyA+eva
yuktibalenEva,yuktibalena+eva
bahirvfkzopari,bahiH+vfkzopari
praSaMsAmanyataH,praSaMsAm+anyataH
sa svahastena,saH+svahastena
etad na,etat+na
lipto yaH,liptaH+yaH
sa eva,saH+eva
yastaTA,yaH+taTA
sa eva,saH+eva
nagarAd bahiH,nagarAt+bahiH
vIraSivAjitulyAste,vIraSivAjitulyAH+te
tad vastu,tat+vastu
etad mlecCarAjyam,etat+mlecCarAjyam
vipattAvapi,vipattO+api
sa kAryaM,saH+kAryaM
AgamanAd BItaH,AgamanAt+BItaH
tad DanaM,tat+DanaM
praTamo'NkaH,praTamaH+aNkaH
yo gADiputramaKaviGnakarABihantA,yaH+gADiputramaKaviGnakarABihantA
vo niSicarendrakulABihantA,vaH+niSicarendrakulABihantA
evamAryamiSrAn,evam+AryamiSrAn
parikramyAvalokya,parikramya+avalokya
Sabda iva,SabdaH+iva
ita itaH,itaH+itaH
kuto nu,kutaH+nu
samutTito DvaniH,samutTitaH+DvaniH
SrotravidAraRo mahAn,SrotravidAraRaH+mahAn
balAhakAnAmiva,balAhakAnAm+iva
Ke'BigarjatAm,Ke+aBigarjatAm
nAvagacCasi,na+avagacCasi
eza Kalu,ezaH+Kalu
hantuM samudyogaH,hantum+samudyogaH
tata etO,tataH+etO
sugrIvaM rAmalakzmaRO,sugrIvam+rAmalakzmaRO
hariharAviva,hariharO+iva
rAmo,rAmaH+
hanumAMSca,hanumAn+ca
ita itaH,itaH+itaH
matsAyakAnnihataBinnavikIrRadehaM,matsAyakAt+nihataBinnavikIrRadehaM
tavAdya,tava+adya
BayaM tyaja,Bayam+tyaja
mamApi,mama+api
dfzwastvayA,dfzwaH+tvayA
sa vAlI,saH+vAlI
KalvAryasya,Kalu+Aryasya
devAnAmapi,devAnAm+api
rAjyamASaNke,rAjyam+ASaNke
punarvAnarARAm,punaH+vAnarARAm
mukto deva,muktaH+deva
tavAdya,tava+adya
BettuM na,Bettum+na
SfNgopamAYCrIDara,SfNgopamAn+SrIDara
DaraRIM gatvA,DaraRIm+gatvA
nAgAlayaM,nAgAlayam+
vigataBayA hi,vigataBayAH+hi
pradAtuM,pradAtum+
girimaBigacCa,girim+aBigacCa
vanAntarasyABitaH,vanAntarasya+aBitaH
sugrIvaHsamyagAha,sugrIvaHsamyak+Aha
karomyahaM,karomi+ahaM
visaMjYaM,visaMjYam+
pracalamahIDaraM nflokam,pracalamahIDaram+nflokam
sugrIvaHyadAjYApayati,sugrIvaHyad+AjYApayati
aparADamanuddiSya,aparADam+anuddiSya
parityaktastvayA,parityaktaH+tvayA
tvatpAdaSuSrUzAM sugrIvaH,tvatpAdaSuSrUzAm+sugrIvaH
kartumicCati,kartum+icCati
sugrIva iti,sugrIvaH+iti
sugrIva iti,sugrIvaH+iti
vastramaninditANgi,vastram+aninditANgi
kimasi,kim+asi
sugrIvamadya,sugrIvam+adya
taM paSya,tam+paSya
nAgamizyati,na+Agamizyati
tadamAtyavargeRa,tad+amAtyavargeRa
Sakro vA,SakraH+vA
Satrorme,SatroH+me
Sivo vA,SivaH+vA
samprahartuM,samprahartum+
vizRurvA,vizRuH+vA
kartumarhati,kartum+arhati
vAlISrUyatAM matparAkramaH,vAlISrUyatAm+matparAkramaH
mAkfzyamARamavalokya,AkfzyamARam+avalokya
suvismitAste,suvismitAH+te
tvamaByantaram,tvam+aByantaram
BagnagrIvaM karomi,BagnagrIvam+karomi
drutamupagamya,drutam+upagamya
indro vA,indraH+vA
te'stu,te+astu
praBurvA,praBuH+vA
maccakzuzpaTamAsAdya,maccakzuzpaTam+AsAdya
nEva,na+eva
ita itaH,itaH+itaH
sugrIvaHyadAjYApayati,sugrIvaHyat+AjYApayati
eza vAlI,ezaH+vAlI
muzwiM kftvA,muzwim+kftvA
gAQamudvfttadaMzwraH,gAQam+udvfttadaMzwraH
vAnaro BAti,vAnaraH+BAti
lakzmaRaHsugrIvamapi,lakzmaRaHsugrIvam+api
paSyatvAryaH,paSyatu+AryaH
harivaramupayAti,harivaram+upayAti
vAnaratvAd,vAnaratvAt+
gurumaBiBUya,gurum+aBiBUya
satAM vihAya,satAm+vihAya
rAmamupagamya,rAmam+upagamya
vAnarendrastu,vAnarendraH+tu
durbalaSca,durbalaH+ca
patirmama,patiH+mama
sarvamAryeRa,sarvam+AryeRa
etadanuzWIyate,etat+anuzWIyate
SaraM muktvA,Saram+muktvA
eza vAlI,ezaH+vAlI
kAlalokaM vivikzuH,kAlalokam+vivikzuH
DIramAkarzamARaH,DIram+AkarzamARaH
SAntavegaM SarIram,SAntavegam+SarIram
vAlImohamupagamya,vAlImoham+upagamya
rAmamuddiSya,rAmam+uddiSya
yuktaM Bo,yuktam+Bo
narapatiDarmamAsTitena,narapatiDarmam+AsTitena
CalayitumakrameRa,Calayitum+akrameRa
yaSaso BAjanena,yaSasaH+BAjanena
prarUQamayaSaH,prarUQam+ayaSaH
yudDavyagrasyADarmyaH,yudDavyagrasya+aDarmyaH
pracCanno vaDaH,pracCannaH+vaDaH
rAmaHkaTamaDarmyaH,rAmaHkaTam+aDarmyaH
vaDa iti,vaDaH+iti
Kalvetat,Kalu+etat
vAgurAcCannamASritya,vAgurAcCannam+ASritya
mfgARAmizyate,mfgARAm+izyate
vaDyatvAcca,vaDyatvAt+ca
mfgatvAcca,mfgatvAt+ca
BavAMSCannena,BavAn+Cannena
vAlIdaRqya iti,vAlIdaRqyaH+iti
mAM BavAn,mAm+BavAn
vAlIagamyAgamaneneti,vAlIagamyAgamanena+iti
yuktaM BoH,yuktam+BoH
mfgamuddiSya,mfgam+uddiSya
daRqito,daRqitaH+
daRqyatvAd,daRqyatvAt+
nEva,na+eva
gurormama,guroH+mama
daRqyo'smi,daRqyaH+asmi
kadAcijjyezWasya,kadAcit+jyezWasya
yavIyaso dArABimarSanam,yavIyasaH+dArABimarSanam
anuttarA vayam,anuttarAH+vayam
rAmaHevamastu,rAmaHevam+astu
gajendragAmiMstava,gajendragAmin+tava
patatIva,patati+iva
me'dya,me+adya
IdfSo lokaDarmaH,IdfSaH+lokaDarmaH
saMvAryatAM strIjanaH,saMvAryatAm+strIjanaH
nArhati,na+arhati
mAM drazwum,mAm+drazwum
sugrIvaHyadAjYApayati,sugrIvaHyad+AjYApayati
evaM kriyatAm,evam+kriyatAm
hanUmAnyadAjYApayati,hanUmAnyad+jYApayati
hanUmAMSca,hanUmAn+ca
ita itaH,itaH+itaH
harimfkzagaReSvaram,harim+fkzagaReSvaram
hanumAneza mahArAjaH,hanumAnezaH+mahArAjaH
SaranirBinnahfdayo viBAti,SaranirBinnahfdayaH+viBAti
guhaSaktisamAkrAnto yaTA,guhaSaktisamAkrAntaH+yaTA
vyaktamutsfjya,vyaktam+utsfjya
dehaM,deham+
kimaBilazasi,kim+aBilazasi
dozamapAsya,dozam+apAsya
harIRAmaDipena,harIRAm+aDipena
rozaM parigfhya,rozam+parigfhya
DarmaM,Darmam+
parigfhyatAM naH,parigfhyatAm+naH
sugrIvaHyadAjYApayati,sugrIvaHyat+AjYApayati
kzantumarhasi,kzantum+arhasi
pratigfhyatAmasmatkulaDanaM,pratigfhyatAm+asmatkulaDanaM
sugrIvaHanugfhIto'smi,sugrIvaHanugfhItaH+asmi
ApastAvat,ApaH+tAvat
hanumAnyadAjYApayati,hanUmAnyat+AjYApayati
imA ApaH,imAH+ApaH
parityajantIva,parityajanti+iva
mAM prARAH,mAm+prARAH
mAmaBigatAH,mAm+aBigatAH
sahasrahaMsaprayukto vIravAhI,sahasrahaMsaprayuktaH+vIravAhI
netumAgataH,netum+AgataH
svaryAtaH,svaH+yAtaH
gato vAlI,gataH+vAlI
kriyatAmasya,kriyatAm+asya
sugrIvaHyadAjYApayati,sugrIvaHyad+AjYApayati
sugrIvasyABizekaH,sugrIvasya+aBizekaH
praTamo'NkaH,praTamaH+aNkaH
dvitIyo'NkaH,dvitIyaH+aNkaH
kAryasyAhAravyApftAH,kAryasya+AhAravyApftAH
prezito'smi,prezitaH+asmi
kftopakArapratyupakAranimittaM sarvAsu,kftopakArapratyupakAranimittam+sarvAsu
vAnarA AgatAH,vAnarAH+AgatAH
tezAM dakziRApaTamuKyasya,tezAm+dakziRApaTamuKyasya
kumArasyANgadasya,kumArasya+aNgadasya
pravfttiM jYAtvA,pravfttim+jYAtvA
eza AryakakuBaH,ezaH+AryakakuBaH
suKamAryasya,suKam+Aryasya
kuto BavAn,kutaH+BavAn
mahArAjaSca,mahArAjaH+ca
kakuBaHkiM na,kakuBaHkim+na
nizWatamarDaM kAryasya,nizWatamarDam+kAryasya
kiM kim,kim+kim
vfttAntaM rAmapatnyAH,vfttAntam+rAmapatnyAH
SIGraM,SIGram+
vIryaprAbalyAllaNGitaH,vIryaprAbalyAt+laNGitaH
sAgaro'dya,sAgaraH+adya
tasmAdAgacCa,tasmAt+AgacCa
kumArapAdamUlameva,kumArapAdamUlam+eva
Dig atiDIrA,Dik+atiDIrA
Kalvasmi,Kalu+asmi
Kalvadya,Kalu+adya
udakapraseka iva,udakaprasekaH+iva
kiYcid hfdayaprasAdaH,kiYcit+hfdayaprasAdaH
mAmantareRa,mAm+antareRa
Aryaputro Bavet,AryaputraH+Bavet
mahendrapurIva,mahendrapurI+iva
etAM prApya,etAm+prApya
rAjalakzmImanuttamAm,rAjalakzmIm+anuttamAm
vyApAdayitumudyataH,vyApAdayitum+udyataH
sarvato gatvA,sarvataH+gatvA
sarvaM BoH,sarvam+BoH
vicitaM na,vicitam+na
cEva,ca+eva
vyarTo me,vyarTaH+me
imaM praviSya,imam+praviSya
praviSyAvalokya,praviSya+avalokya
kanakaracitavidrumendranIlErvikftamahAdrumapaNkticitradeSA,kanakaracitavidrumendranIlEH+vikftamahAdrumapaNkticitradeSA
SElASca,SElAH+ca
dfzwA mayA,dfzwAH+mayA
dfzwA mayA,dfzwAH+mayA
deSASca,deSAH+ca
dfzwA mayA,dfzwAH+mayA
ko nu,kaH+nu
Kalvetasmin,Kalu+etasmin
sapraBa iva,sapraBaH+iva
tAvadavalokayAmi,tAvat+avalokayAmi
Kalviyam,Kalu+iyam
vidyulleKeva,vidyulleKa+iva
yEzA,yA+ezA
maRiviracitamOliScArutAmrAyatAkzI,maRiviracitamOliH+cArutAmrAyatAkzI
BAtyasO,BAti+asO
rAkzaseSo,rAkzaseSaH+
haririva,hariH+iva
hariRInAmantare,hariRInAm+antare
kowarAntarito BUtvA,kowarAntaritaH+BUtvA
vfttAntaM jYAsyAmi,vfttAntam+jYAsyAmi
rAvaRaM,rAvaRam+
mAmavivekinI,mAm+avivekinI
Druvamaho,Druvam+aho
UrDvamavalokya,UrDvam+avalokya
eza candramAH,ezaH+candramAH
mamABipIqya,mama+aBipIqya
pAdapamUlamASritya,pAdapamUlam+ASritya
DyAnasaMvItahfdayAnaSanakzAmavadanA,DyAnasaMvItahfdayA+anaSanakzAmavadanA
svadehamiva,svadeham+iva
candraleKeva,candraleKa+iva
rAkzasIgaRaparivftopavizwA,rAkzasIgaRaparivftA+upavizwA
yEzA,yA+ezA
cEva,ca+eva
SriyaM ca,Sriyam+ca
mahatImimAm,mahatIm+imAm
nEva,na+eva
vaSyatvamAgatA,vaSyatvam+AgatA
iyaM sA,iyam+sA
mfgIva,mfgI+iva
mAM BAmini,mAm+BAmini
mAnuzamadya,mAnuzam+adya
kAmapaTAnnivfttam,kAmapaTAt+nivfttam
vacanagatasidDimapi,vacanagatasidDim+api
rAvaRasyAvalepaH,rAvaRasya+avalepaH
sumahad DanuH,sumahat+DanuH
cApi,ca+api
gatAyuriti,gatAyuH+iti
rozaM DArayitum,rozam+DArayitum
kAryaM sADayAmi,kAryam+sADayAmi
rAvaRaM hanmi,rAvaRam+hanmi
kAryasidDirBavizyati,kAryasidDiH+Bavizyati
rakzo mahat,rakzaH+mahat
kAryaM vipadyate,kAryam+vipadyate
kuvalayadAmaniBAM vimucya,kuvalayadAmaniBAm+vimucya
bahuviDamaRiratnaBUzitANgaM,bahuviDamaRiratnaBUzitANgam+
daSaSirasaM manasA,daSaSirasam+manasA
KalvayaM,Kalu+ayaM
ito mahArAjaH,itaH+mahArAjaH
saparivAro rAvaRaH,saparivAraH+rAvaRaH
nirgato rAvaRaH,nirgataH+rAvaRaH
suptASca,suptAH+ca
devImupasarpitum,devIm+upasarpitum
kowarAdavaruhya,kowarAt+avaruhya
jayatvaviDavA,jayatu+aviDavA
ko nu,kaH+nu
vaYcayitukAmo Bavet,vaYcayitukAmaH+Bavet
alamanyaSaNkayA,alam+anyaSaNkayA
Srotumarhati,Srotum+arhati
tvaham,tu+aham
yo vA,yaH+vA
ko vA,kaH+vA
vfttAnta Aryaputrasya,vfttAntaH+Aryaputrasya
anaSanaparitaptaM pARqu,anaSanaparitaptam+pARqu
kzAmavaktraM,kzAmavaktram+
SarIraM,SarIram+
manasijaSaradagDaM bAzpaparyAkulAkzam,manasijaSaradagDam+bAzpaparyAkulAkzam
DigvrIqitA,Dik+vrIqitA
Kalvasmi,Kalu+asmi
virahapariSramo'pi,virahapariSramaH+api
saMvftta iti,saMvfttaH+iti
AryaputrasyAsmin,Aryaputrasya+asmin
pariSramaM ca,pariSramam+ca
cAntare,ca+antare
dolAyata iva,dolAyate+iva
tvayAryaputrasya,tvayA+Aryaputrasya
saMgamo jAtaH,saMgamaH+jAtaH
vAlinamAhave,vAlinam+Ahave
cApi,ca+api
sarvA diSaH,sarvAH+diSaH
tvAM devi,tvAm+devi
IdfSamiva,IdfSam+iva
KalvISvarA,Kalu+ISvarAH
rAmo hi,rAmaH+hi
vfto vAnarasenayA,vftaH+vAnarasenayA
svapno mayA,svapnaH+mayA
gAQaM parijYAya,gAQam+parijYAya
BartAraM BartfvatsalA,BartAram+BartfvatsalA
dehAntaraM gatA,dehAntaram+gatA
ayamidAnIm,ayam+idAnIm
samuditavaracApabARapARiM,samuditavaracApabARapARim+
patimiha,patim+iha
tavAnayAmi,tava+AnayAmi
tvaM,tvam+
SokaparavaSo na,SokaparavaSaH+na
vfttAntaM BaRa,vfttAntam+BaRa
hanUmAnyadAjYApayati,hanUmAnyad+AjYApayati
kAryasidDirBavatu,kAryasidDiH+Bavatu
hanUmAnanugfhIto'smi,hanUmAnanugfhItaH+asmi
padmazaRqABirAmaM,padmazaRqABirAmam+
toyadABaM trikUwam,toyadABam+trikUwam
rAkzaseSaM karomi,rAkzaseSam+karomi
dvitIyo'NkaH,dvitIyaH+aNkaH
tftIyo'NkaH,tftIyaH+aNkaH
SaNkukarRaHka iha,SaNkukarRaHkaH+iha
ka iha,kaH+iha
ahaM vijayA,aham+vijayA
kiM kriyatAm,kim+kriyatAm
nivedyatAM mahArAjAya,nivedyatAm+mahArAjAya
yasyAM na,yasyAm+na
priyamaRqanApi,priyamaRqana+api
snehAllumpati,snehAt+lumpati
pallavAnna,pallavAn+na
punarvIjanti,punaH+vIjanti
yasyAM BayAt,yasyAm+BayAt
malayAnilA api,malayAnilAH+api
karEraspfzwabAladrumAH,karEH+aspfzwabAladrumAH
SakrariporaSokavanikA,SakraripoH+aSokavanikA
Bagneti,BagnA+iti
kimetad,kim+etat
kAryamidam,kAryam+idam
nivedyatAM nivedyatAm,nivedyatAm+nivedyatAm
iyaM nivedayAmi,iyam+nivedayAmi
