aM gaRAya,am+gaRAya
akzatatvameveti,akzatatvam+eva+iti
akzatatvAditi,akzatatvAt+iti
akzatameveti,akzatam+eveti
akzataSarIra ita ita evAgacCati,akzataSarIraH+itaH+itaH+eva+AgacCati
akzatErmudrayA,akzatEH+mudrayA
akzannamImadanteti,akzannamImadanta+iti
akzapAtrantanutreRa,akzapAtram+tanutreRa
akzamatayA'sO,akzamatayA+asO
akzamAlAM pustakAdi,akzamAlAm+pustakAdi
akzamo jAtaH,akzamaH+jAtaH
akzayyaM ca,akzayyam+ca
akzaramAtramapi,akzaramAtram+api
akzavyAjajitA vanaM vanaM vanamfgEryatpARqavAH,akzavyAjajitAH+vanam+vanam+vanamfgEH+yatpARqavAH
akzARAM patanAt,akzARAm+patanAt
akzOhiRIpramARantu,akzOhiRIpramARam+tu
akzRoragre,akzRoH+agre
akzRoraSruDArA,
aKaRqatAdfSaDarmakalpane'pIdamAdipadasya,aKaRqatAdfSaDarmakalpane+api+idamAdipadasya
aKaRqABAvagarBatvAnna,aKaRqABAvagarBatvAt+na
aKaRqABAvavivakzAyAM SarIrajanyatve'pi,aKaRqABAvavivakzAyAm+SarIrajanyatve+api
aKaRqitAnuBAvEstvaM sarvaduzwaharo sarvaduzwaharo Bava,aKaRqitAnuBAvEH+tvam+sarvaduzwaharaH+sarvaduzwaharaH+Bava
aKaRqopADirUpaM Binnameva,aKaRqopADirUpam+Binnam+eva
aKilAnyastrARyupaSikzitumicCAmItyuktavAnasmi,aKilAni+astrARi+upaSikzitum+icCAmi+iti+uktavAn+asmi
agadacca,agadat+ca
agado'yaM,agadaH+ayaM
agamyAgamaneneti,agamyAgamanena+iti
agastya iti,agastyaH+iti
agastyantatprasAdataH,agastyam+tatprasAdataH
agastyaBrAtaraM natvA,agastyaBrAtaram+natvA
agAdvimucya,agAt+vimucya
aguruM nirftASAyAM nirftASAyAM vAyavyAM vAyavyAM ca,agurum+nirftASAyAm+nirftASAyAm+vAyavyAm+vAyavyAm+ca
agfhItasaNketeti,agfhItasaNketA+iti
agfhItasaNketoce,agfhItasaNketA+Uce
agfhRAcca,agfhRAt+ca
agocaraSaktisampAdanArTaM prayatnaM prayatnaM karoti,agocaraSaktisampAdanArTam+prayatnam+prayatnam+karoti
agnAvagneSca,agnO+agneH+ca
agnAvapi,agnO+api
agniM GftaM GftaM juhotIti,agnim+Gftam+Gftam+juhoti+iti
agniM trimUrttO,agnim+trimUrttO
agniH,agniH
agnikAryakaTanaM nAma,agnikAryakaTanam+nAma
agnikAryyaM pravakzyAmi,agnikAryyam+pravakzyAmi
agnikAryyAdikaTanaM nAma,agnikAryyAdikaTanam+nAma
agnijalAdAvapi,agnijalAdO+api
agnitApAtapasvinno jAnUccAsanasaMsTitaH,agnitApAtapasvinnaH+jAnUt+ca+AsanasaMsTitaH
agnito gatayA,agnitaH+gatayA
agnitrayamasti,agnitrayam+asti
agnidagDo'BUt,agnidagDoH+aBUt
agnidevamAjYApayat,agnidevam+AjYApayat
agninAgnirvivarDeta,agninA+agniH+vivarDeta
agninA'vacCinnatvAditi,agninA+avacCinnatvAt+iti
agnineti,agninA+iti
agninoktaM purARaM purARaM yadAgneyaM,agninA+uktam+purARam+purARam+yat+Agneyam
agniparIkzAyA api,agniparIkzAyAH+api
agnimagnIti,agnimagnI+iti
agnimaRqapamAsAdya,agnimaRqapam+AsAdya
agnimattvasyeti,agnimattvasya+iti
agnimatsADarmyAdanagnimadvEDarmyAdavinABUtAdDUmAdervA'gnimattvaM siDyati,agnimatsADarmyAt+anagnim+advEDarmyAt+avinABUtAdDUmAdeH+vA+agnimattvam+siDyati
agnimAnIya,agnim+AnIya
agnirjyotIti,agnirjyoti+iti
agnirmUrdDeti,agnirmUrdDA+iti
agniryamo nErfto'Ta,agniH+yamaH+nErftaH+aTa
agnivAyvAdiviviDAstrARAM prayoga,
agniviSizwasaMyoge'gnivfttitvasyAnvaye,agniviSizwasaMyoge+agnivfttitvasya+anvaye
agnivyApto DUma DUma ityatrAgneH,agnivyAptaH+DUmaH+DUmaH+ityatra+agneH
agnivyApto DUmaH,agnivyAptaH+DUmaH
agnivyApto DUmo'stIti,agnivyAptaH+DUmaH+asti+iti
agnizwuratirAtraSca,agnizwuH+atirAtraH+ca
agnisaMyogAnukUlavyApArAnukUlavyApArohuDAtuvAcyamityAkArakavfttigrahamuKyaviSezye,agnisaMyogAnukUlavyApArAnukUlavyApAraH+huDAtuvAcyam+ityAkArakavfttigrahamuKyaviSezye
agnisAmAnyasyAvivAdAspadatvena,agnisAmAnyasya+avivAdAspadatvena
agnihotramiti,agnihotram+iti
agnI rudro rudro hutASI,agniH+rudraH+rudraH+hutASI
agnIzomamayaM viSvaM viSvaM vizRurApastu,agnIzomamayam+viSvam+viSvam+vizRuH+ApaH+tu
agnIzomAByAM svAhA,agnIzomAByAm+svAhA
agneraBimuKIBUtAn,agneH+aBimuKIBUtAn
agneriti,agneH+iti
agnerjananapUjAdi,agneH+jananapUjAdi
agnerDUmasaMbanDasyArdrenDanasaMbanDinibanDanatvAditi,agneH+DUmasaMbanDasya+ArdrenDanasaMbanDinibanDanatvAt+iti
agnerDvajAdipatitAH,agneH+DvajAdipatitAH
agnernetratraye,agneH+netratraye
agnyaNgArAdirAdi,agnyaNgArAdiH+Adi
agnyAdiByastato dadyAdAhutInAM dadyAdAhutInAM catuzwayam,agnyAdiByaH+tataH+dadyAt+AhutInAm+dadyAt+AhutInAm+catuzwayam
agnyAdIti,agnyAdi+iti
agnyADAnaM cApyakuRqe,agnyADAnam+ca+ApyakuRqe
agnyAhitavannizWAyAH,agnyAhitavat+nizWAyAH
agrago Bavati,agragaH+Bavati
agracUlABiDo mataH,agracUlABiDaH+mataH
agrajameva,agrajam+eva
agraRIrDImatAM,agraRIH+DImatAM
agrato muKamaRqapam,agrataH+muKamaRqapam
agrato vilokya,agrataH+vilokya
agrato'karRike,agrataH+akarRike
agrato'grata,agrataH+agrata
agrapAdAvuttAnIkftya,agrapAdO+uttAnIkftya
agrimaM ca,agrimam+ca
agrimatadDarmapadenApi,agrimatadDarmapadena+api
agrimeti,agrima+iti
agrecA'vyavahitottaratvaniveSasya,agreca+avyavahitottaratvaniveSasya
agre'tyantABAvagarBamuktamiti,agre+atyantABAvagarBam+uktam+iti
aGawitaGawanAsTalIBUtAyAmasyAM DaritryAM DaritryAM kiM kiM na,aGawitaGawanAsTalIBUtAyAm+asyAm+DaritryAm+DaritryAm+kim+kim+na
aGoreRATa,aGoreRa+aTa
aNkamArohati,aNkam+Arohati
aNkitamatra,aNkitam+atra
aNkitamasti,aNkitam+asti
aNkitA navavaktrAdyEH,aNkitAH+navavaktrAdyEH
aNkurAdyutpattisamaye,aNkurAdi+utpattisamaye
aNkuSaM vAmake,aNkuSam+vAmake
aNkenAdAya,aNkena+AdAya
aNgaM sumanasaM sumanasaM svAtiM svAtiM kratumaNgirasaNgayam,aNgam+sumanasam+sumanasam+svAtim+svAtim+kratum+aNgirasam+gayam
aNgadAdInaNgadAdyEH,aNgadAdIn+aNgadAdyEH
aNgado nivftya,aNgadaH+nivftya
aNgado rAvaRasaBAM,aNgadaH+rAvaRasaBAM
aNgamardaSca,aNgamardaH+ca
aNgarakzakASca,aNgarakzakAH+ca
aNgAnAM vedanAM vedanAM hantItyarTaboDasyABiDABUlavyaYjanAtastezAmupapattiH,aNgAnAm+vedanAm+vedanAm+hanti+ityarTaboDasya+aBiDABUlavyaYjanAtastezAm+upapattiH
aNgAnAYca,aNgAnAm+ca
aNgAnAmaNginA,aNgAnAm+aNginA
aNgIkAryatayetyAtra,aNgIkAryatayA+ityatra
aNgIkftaM paripAlayizyati,aNgIkftam+paripAlayizyati
aNgIkriyatAM suvarRaratnarASirUpaH,aNgIkriyatAm+suvarRaratnarASirUpaH
aNgulAd gfhaliNgaM gfhaliNgaM syAdyAvat,aNgulAt+gfhaliNgam+gfhaliNgam+syAt+yAvat
aNgulAnAM SatAdiha,aNgulAnAm+SatAt+iha
aNguliByAmanAyasto nAlena,aNguliByAm+anAyastaH+nAlena
aNgulIyapraBftiBirmUrttipAn,aNgulIyapraBftiBiH+mUrttipAn
aNgulEkA BavennABI,aNgulEkA+Bavet+nABI
aNguzWaparvamAtrAste,aNguzWaparvamAtrAH+te
aNguzWenonnamayyAgre,aNguzWena+unnamayyAgre
aNgErArADya,aNgEH+ArADya
aNgErddakziRamekAdyaM pUrvamastreRa,aNgEH+dakziRam+ekAdyam+pUrvam+astreRa
aNgErbIjena,aNgEH+bIjena
aNgErhomastu,aNgEH+homaH+tu
aNgrejaSCalaCadmanItinipuRo nityaM,aNgrejaSCalaCadmanItinipuRaH+nityaM
aNglaSabdo nahi,aNglaSabdaH+nahi
aNGo BaRataM BaRataM kO,aNGaH+BaRatam+BaRatam+kO
aNkuritamannaM,aNkuritam+annaM
aNkenAdAya,aNkena+AdAya
acaturvadano brahmA,acaturvadanaH+brahmA
acarAMSca,acarAn+ca
acalaM kUwasTaM kUwasTaM vA,acalam+kUwasTam+kUwasTam+vA
acalAM vinyased vinyased gehe,acalAm+vinyaset+vinyaset+gehe
acintayacca,acintayat+ca
acintyaSca,acintyaH+ca
acirAteva,acirAt+eva
acirAd drakzyasi,acirAt+drakzyasi
acetanAdeva,acetanAt+eva
acEtanyAstamodriktAH,acEtanyAH+tamodriktAH
acEtanyamivAnuBavati,acEtanyam+iva+anuBavati
acCinnamAsId dvizato dvizato murAre murAre stvAmudvahAmIti,acCinnam+AsIt+dvizataH+dvizataH+murAreH+tvAm+udvahAmi+iti
ajaYca,ajaM+ca
ajanakatvamasidDamiti,ajanakatvam+asidDam+iti
ajanyatvAdityatra,ajanyatvAt+iti+atra
ajayattasya,ajayat+tasya
ajAM grAmaM grAmaM na,ajAm+grAmam+grAmam+na
ajAM grAmaM grAmaM nayatItyatra,ajAm+grAmam+grAmam+nayati+ityatra
ajAM grAmaM grAmaM yApayatItyatra,ajAm+grAmam+grAmam+yApayati+ityatra
ajAM grAmaM grAmaM yApayatItyatrA'jAyAM yApayatItyatrA'jAyAM gamanASrayatvarUpam,ajAm+grAmam+grAmam+yApayati+ityatra+ajAyAm+yApayati+ityatra+ajAyAm+gamanASrayatvarUpam
ajAM grAmaM grAmaM yApayatItyAdO,ajAm+grAmam+grAmam+yApayati+ityAdO
ajAtAdyAstadISvarAH,ajAtAdyAH+tadISvarAH
ajAnAdumA,ajAnAt+umA
ajASAvako'parAdDaH,ajASAvakaH+aparAdDaH
ajASAvako'pi,ajASAvakaH+api
ajASAvako'bravIt,ajASAvakaH+abravIt
ajASAvako'vAdIt,ajASAvakaH+avAdIt
ajASca,ajAH+ca
ajAScArayituM,ajAH+carayituM
ajitAdyASca,ajitAdyAH+ca
ajIjanatsa,ajIjanat+saH
ajIrRe'gnyarkasantapte,ajIrRe+agnyarkasantapte
ajeSaScEva,ajeSaH+ca+eva
ajEkapAdahirbruDnastvazwA,ajEkapAt+ahirbruDnaH+tvazwA
ajo'BaRat,ajaH+aBaRat
ajjukAM ca,ajjukAm+ca
ajjukAyA ayamalaNkAraH,ajjukAyAH+ayam+alaNkAraH
ajYaScen nyAyakartA,ajYaH+cet+nyAyakartA
ajYAtavAsaSca,ajYAtavAsaH+ca
ajYAtasyeti,ajYAtasya+iti
ajYAtasvarUpARAM CalAdInAM CalAdInAM na,ajYAtasvarUpARAm+CalAdInAm+CalAdInAm+na
ajYAnakaraRajanyajYAnAnuvftto jYAnakaraRajanyavyAvfttO,ajYAnakaraRajanyajYAnAnuvfttaH+jYAnakaraRajanyavyAvfttO
ajYAnarUpAsidDamityarTaH,ajYAnarUpAsidDam+iti+arTaH
ajYAnarUpAsidDimaBipretyoktam,ajYAnarUpAsidDim+aBipretya+uktam
ajYAnAttu,ajYAnAt+tu
ajYAnAdatikrAntavAn,ajYAnAt+atikrAntavAn
ajYAnAd yA,ajYAnAt+yA
ajYAnAsidDAvativyApterityAhuH,ajYAnAsidDO+ativyApteH+iti+AhuH
ajYAnAsidDirityarTaH,ajYAnAsidDiH+iti+arTaH
ajYAnino vayaM,ajYAninaH+vayaM
ajYAneti,ajYAna+iti
ajYAyamAnatvaviSezaRAnna,ajYAyamAnatvaviSezaRAt+na
ajYAyamAnAyA asidDeSca,ajYAyamAnAyAH+asidDeH+ca
aYjanAyAM samutpanno samutpanno mArutasyOrasaH,aYjanAyAm+samutpannaH+samutpannaH+mArutasya+OrasaH
aYjayellakzmakft,aYjayet+lakzmakft
aYjalibadDo BUtvA,aYjalibadDaH+BUtvA
awavImullaNGya,awavIm+ullaNGya
awavyAmawataH,awavyAm+awataH
awwahAsErBagnasamADirgirISa,
awwAlaka eva,awwAlake+eva
awwAlikAto'vatIrya,awwAlikAtaH+avatIrya
awwAlikAByastezAmupari,awwAlikAByaH+tezAm+upari
aRimAdimavApnoti,aRimAdim+avApnoti
aRoraRIyastvaM Bajante,aRoraRIya
aRqantadudBavanDyAyettadADArantadAtmakam,aRqam+tadudBavam+DyAyet+tadADAram+tadAtmakam
aRqavfdDipraDAnAntaM tritattvaM tritattvaM brahmaRaH,aRqavfdDipraDAnAntam+tritattvam+tritattvam+brahmaRaH
aRqAd na,aRqAt+na
aRqAnyeva,aRqAni+eva
aRqorDvaM kalaSaM kalaSaM nyasya,aRqorDvam+kalaSam+kalaSam+nyasya
ata AkfteH,ataH+AkfteH
ata Aha ata Aha ata eveti,ataH+Aha+ataH+Aha+ataH+eva+iti
ata Aha adfzweti,ataH+Aha+adfzwa+iti
ata Aha antyeti,ataH+Aha+antya+iti
ata Aha anvayeti,ataH+Aha+anvayeti
ata Aha ISvareti,ataH+Aha+ISvareti
ata Aha etacceti,ataH+Aha+etat+ca+iti
ata Aha Palopahiteti,ataH+Aha+Palopahiteti
ata Aha yadIti,ataH+Aha+yadi+iti
ata Aha yogeti,ataH+Aha+yoga+iti
ata ityanuzajyate,ataH+iti+anuzajyate
ata ityAdinA,ataH+ityAdinA
ata uktamarUpIti,ataH+uktam+arUpIti
ata uBayaM uBayaM saMmilitaM saMmilitaM hetulakzaRam,ataH+uBayam+uBayam+saMmilitam+saMmilitam+hetulakzaRam
ata ekenApi,ataH+ekena+api
ata eva bADasya,ataH+eva+bADasya
ata evakAraH,ataH+evakAraH
ata evamuktaprakAreRAparokzapramAhetuH,ataH+evam+uktaprakAreRa+aparokzapramAhetuH
ata evAgamabADitodAharaRamidamityagre,ataH+eva+AgamabADitodAharaRam+idam+iti+agre
ata evAgnimAnparvata evAgnimAnparvata iti,ataH+eva+agnimAnparvataH+eva+agnimAnparvataH+iti
ata evAgrimAnunAne'pi,ataH+eva+agrimAnumAne+api
ata evAnanugatasvarUpasaMbanDAtiriktasamavAyasidDiH,ataH+eva+ananugatasvarUpasaMbanDAtiriktasamavAyasidDiH
ata evAnyonyABAvAdO,ataH+eva+anyonyABAvAdO
ata evAbADitatvapramApi,ataH+eva+abADitatvapramA+api
ata evABAvagrAhakamapIndriyaM,ataH+eva+aBAvagrAhakam+api+indriyaM
ata evArTAByupagame'ByupagamyamAne,ataH+eva+arTAByupagame+aByupagamyamAne
ata evAvacCedakasya,ataH+eva+avacCedakasya
ata evAsyAnityadozatvam,ataH+eva+asya+anityadozatvam
ata evAha liNgAvizayatvAditi,ataH+eva+Aha+liNgAvizayatvAt+iti
ata evAha vyaBicArAderapIti,ataH+eva+Aha+vyaBicArAdeH+api+iti
ata evAhamadya,ataH+eva+aham+adya
ata evA'nekAntamataM,ataH+eva+anekAntamataM
ata evedAnIntanavahnyanumiteH,ataH+eva+idAnIntanavahnyanumiteH
ata evendriyAjjAyamAnAyAM,ataH+eva+indriyAt+jAyamAnAyAM
ata evEtAmahaM evEtAmahaM na,ataH+eva+etAm+aham+eva+etAm+aham+na
ata evoktaM evoktaM maRikftA,ataH+eva+uktam+eva+uktam+maRikftA
ata evoktaM evoktaM maRikftAvyAptivirahastu,ataH+eva+uktam+eva+uktam+maRikftAvyAptivirahaH+tu
ata evoktaM evoktaM vyaBicArAdicatuzwayaBinnahetvABAsatvasya,ataH+eva+uktam+eva+uktam+vyaBicArAdicatuzwayaBinnahetvABAsatvasya
ata evoktam atyantAsatyapi,ataH+eva+uktam+atyanta+asati+api
ata evottaragranTe,ataH+eva+uttaragranTe
ata evoditamudayanAcAryeRa,ataH+evoditam+udayanAcAryeRa
ata evopadeSavirahiRAmapIdaM evopadeSavirahiRAmapIdaM tato tato vilakzaRamityanuBava vilakzaRamityanuBava iti,ataH+eva+upadeSavirahiRAm+api+idam+eva+upadeSavirahiRAm+api+idam+tataH+tataH+vilakzaRam+iti+anuBavaH+vilakzaRam+iti+anuBavaH+iti
ata tEH,ataH+tEH
ata DAtvAdanupayogitvAt,ataH+DAtvAdanupayogitvAt
ata ye,ataH+ye
ata rAjAdeSaM,ataH+rAjAdeSaM
ata sapakzapadasya,ataH+sapakzapadasya
ataTABUtajYAnavizayasyEva,ataTABUtajYAnavizayasya+eva
ataTeti,ataTA+iti
atarkitameva,atarkitam+eva
ataScakzuHSrotrayoH,ataH+cakzuHSrotrayoH
ataScatvAryeva,ataH+catvAri+eva
ataScalatu,ataH+calatu
ataScAnuBavitftvamapi,ataH+ca+anuBavitftvam+api
ataScAndrasUryayorBagavataH,ataH+candrasUryayoH+BagavataH
ataSSabdasyetyarTaH,ataH+Sabdasya+ityarTaH
ataSSabdArTamAha tatrApIti,ataH+SabdArTam+Aha+tatra+api+iti
ataSSabdArTamAha viroDIti,ataH+SabdArTam+Aha+viroDi+iti
atastatkArayedDImAn,ataH+tat+kArayet+DImAn
atastatrAnyonyABAvapratiyogitA'vacCeda,ataH+tatra+anyonyABAvapratiyogitA'vacCeda
atastadanupalabDirasidDetyaBiprAyaH,ataH+tadanupalabDiH+asidDeti+aBiprAyaH
atastadanvaye,ataH+tadanvaye
atastadaBAvo na,ataH+tadaBAvaH+na
atastadarTaM,ataH+tadarTaM
atastadarTamuktam,ataH+tadarTam+uktam
atastadarTamupodGAtaprakriyayA,ataH+tadarTam+upodGAtaprakriyayA
atastad vizaye,ataH+tat+vizaye
atastadBAvABAvAnuviDAyinaH,ataH+tadBAvABAvAnuviDAyinaH
atastadvAraRAyApramARyagrahABAvaviSizwatAdfSaSaktijYAnavyavahitottaratvasyApramARyagrahABAvaviSizwatAdfSaSaktijYAnakAryatA'vacCedake,ataH+tadvAraRAya+apramARyagrahABAvaviSizwatAdfSaSaktijYAnavyavahitottaratvasya+apramARyagrahABAvaviSizwatAdfSaSaktijYAnakAryatA'vacCedake
atastadvizayatvApratyakzaM,ataH+tadvizayatvApratyakzaM
atastadvizayamapi,ataH+tadvizayam+api
atastadvizayasya,ataH+tadvizayasya
atastannivAraRArTaM,ataH+tannivAraRArTaM
atastayoH,ataH+tayoH
atastava,ataH+tava
atastasya,ataH+tasya
atastasyecCA,ataH+tasya+icCA
atastAdfSaboDasya,ataH+tAdfSaboDasya
atastAdfSaSaktijYAnAnantaramidaM ratnaM ratnaM dravyamityAdyuttaravAkyaM prayujyate,ataH+tAdfSaSaktijYAnAnantaram+idam+ratnam+dravyam+ityAdyuttaravAkyam+prayujyate
atastAdfSasADyamatrAnaBimatamevetyarucerjayadevamatamAha vastuta iti,ataH+tAdfSasADyam+atra+anaBimatam+eva+iti+aruceH+jayadevamatam+Aha+vastutaH+iti
atastAsu,ataH+tAsu
atastftIyajYAnasya,ataH+tftIyajYAnasya
atastEH,ataH+tEH
atastrEviDyakaTanaM,ataH+trEviDyakaTanaM
atastvamekena,ataH+tvam+ekena
atastvarAvahe,ataH+tvarAvahe
atastadEva,ataH+tadEva
atastayorAsanayormaDye,ataH+tayoH+AsanayoH+maDye
atastasya,ataH+tasya
atastAdfSam,ataH+tAdfSam
atastuByam,ataH+tuByam
atastvadarTamAgatayA,ataH+tvadarTam+AgatayA
atastvaritaM tvaM tvaM svIyO,ataH+tvaritam+tvam+tvam+svIyO
atAqayadeva,atAqayat+eva
atAdfSatvAditi,atAdfSatvAt+iti
atAdfSasya,ataH+tAdfSasya
atAdfSasyeti,atAdfSasya+iti
atikazwamanuBUya,atikazwam+anuBUya
atikAlaM yAvannAyayO,atikAlam+yAvat+na+AyayO
atikuSalA Asan,atikuSalAH+Asan
aticapalA'sO,aticapalA+asO
atijawilaYca,atijawilam+ca
atijIrRAM parityajet,atijIrRAm+parityajet
atitapatyAdityaH,atitapati+AdityaH
atitarAM viprakfzwe,atitarAm+viprakfzwe
atitarAM suKI,atitarAm+suKI
atiTayaSca,atiTayaH+ca
atiTayo'smAkaM saYjAtA,
atiTigfhe'vasTAnaM,atiTigfhe+avasTAnaM
atiTidevo Bava,atiTidevaH+Bava
atiTimiva,atiTim+iva
atiTimupaninye,atiTim+upaninye
atiTirUpeRAtra,atiTirUpeRa+atra
atiTivaryastu,atiTivaryaH+tu
atidfQa aBavat,atidfQaH+aBavat
atidfQABittirapi,atidfQABittiH+api
atideSavAkyArTatrEviDyokterityudAharati,atideSavAkyArTatrEviDyokteH+iti+udAharati
atiDIro yodDA,atiDIraH+yodDA
atinipuRaSca,atinipuRaH+ca
atipavitramasti,atipavitram+asti
atipAtivfttAntanivedanatvarayAvasTAntaraM nAvekzitam,atipAtivfttAntanivedanatvaraya+avasTAntaram+na+avekzitam
atipurAtanaM KalvidaM KalvidaM vfttam,atipurAtanam+Kalu+idam+Kalu+idam+vfttam
atiprasaMgavAraRA'saMBavAditi,atiprasaMgavAraRA'saMBavAt+iti
atiprasaMgavirahAditi,atiprasaMgavirahAt+iti
atiprasaMgasyeti,atiprasaMgasya+iti
atiprasaMgAditi,atiprasaMgAt+iti
atiprasaMgAvirahAditi,atiprasaMgAvirahAt+iti
atiprasaktatvAditi,atiprasaktatvAt+iti
atiprasaktatvAdeva,atiprasaktatvAt+eva
atiprasaktirdurvArEveti,atiprasaktirdurvAra+eveti
atiprasaktenApyupAdAnagocarajanyakftijanyatvenAstisaMBavAt,atiprasakten+api+upAdAnagocarajanyakftijanyatvena+astisaMBavAt
atiprasakteruBayAtraviSezAt,atiprasakteH+uBayAtraviSezAt
atiprasaNga ityata ityata Aha carama Aha carama iti,atiprasaNgaH+iti+ataH+iti+ataH+Aha+caramaH+Aha+caramaH+iti
atiprasaNgaM vivfRoti tasyeti,atiprasaNgam+vivfRoti+tasya+iti
atiprasaNgaSceti,atiprasaNgaH+ca+iti
atiprasaNgAt,atiprasaNgAt
atiprasaNgAdityuktam,atiprasaNgAt+iti+uktam
atiprasaYjakamiti,atiprasaYjakam+iti
atiprasannaSca,atiprasannaH+ca
atiprasannA aBUvan,atiprasannAH+aBUvan
atiprAcInakAlAdeva,atiprAcInakAlAt+eva
atiprAcInamAdikAvyaM,atiprAcInam+AdikAvyaM
atimAtraM rozaruzita,ayi
atiyogo'tisaMsargaH,atiyogaH+atisaMsargaH
atirAkzasaM Kalu,atirAkzasam+Kalu
atirAtraYca,atirAtram+ca
atirAtrAptoryAmaSca,atirAtrAptoryAmaH+ca
atirAtro''ptoryyAmaSca,atirAtraH+AptoryyAmaH+ca
atiriktaM taladvaye,atiriktam+taladvaye
atiriktaDarmakalpanAmapekzya,atiriktaDarmakalpanAm+apekzya
atiriktAyAstasyAH,atiriktAyAH+tasyAH
atirUpavAnAsIt,atirUpavAn+AsIt
atirOkzyAdanAgacCanna,atirOkzyAt+anAgacCat+na
ativicitramidam,ativicitram+idam
ativinItaSca,ativinItaH+ca
ativirahAditi,ativirahAt+iti
ativiSAladeho'si,ativiSAladehaH+asi
ativyAptimudBAvayate,ativyAptim+udBAvayate
ativyAptirityataHga,ativyAptiH+iti+ataHga
ativyAptivArakatvAcca,ativyAptivArakatvAt+ca
ativyApteranudBAvane,ativyApteH+anudBAvane
ativyApteriti,ativyApteH+iti
ativyApterevetyarTaH,ativyApteH+eva+iti+arTaH
ativyAptyasaMBavayoraBAve,ativyAptyasaMBavayoH+aBAve
atiSayaScAvilambena,atiSayaH+ca+avilambena
atiSayitamiti,atiSayitam+iti
atiSete'sO,atiSete+asO
atizWAmeti,atizWAm+eti
atisaMkziptamuttaram,atisaMkziptam+uttaram
atisadfSa iti,atisadfSaH+iti
atisTOlyA'pacImehajvarodaraBagandarAn,atisTOlyA+apacImehajvarodaraBagandarAn
atisvAdizWA ete,atisvAdizWAH+ete
atIcArAdyupaplavakarARi,atIcArAdi+upaplavakarARi
atItaM vyasfjat,atItam+vyasfjat
